Catálogo de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idGrupo,DscGrupo,idProducto,idProductoAlterno,IdProductoProveedor,IdProductosClasificacion,Dsc,DscClasificacion,DscClasificacionA,SustanciaActiva,Ubicacion,Caracteristicas,ClkUMedida,ClkUMedidacontenido,PrecioCompra,PrecioLista,DescuentoContado,DescuentoCredito,DescuentoEspecialContado,DescuentoEspecialCredito,PrecioVenta,PrecioVenta2,PrecioVenta3,Notas,DescuentoMayoreo,CantidadMayoreo,Orden,IdRestaurante,IdProductoAlterno1,IndR,Status,Moneda,NombreImpresora_PV1,NombreImpresora_PV2,NombreImpresora_PV3,c_ClaveProdServ,c_ClaveUnidad,TasaIVA,ObjetoImpuesto
3,3.-C - D,77,77,77,1,DIAMANTE DE CHABACANO,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,77,1,77,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,78,78,78,1,DONA DE AZUCAR,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,78,1,78,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,79,79,79,1,DONA DE CHOCOLATE,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,79,1,79,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,80,80,80,1,DONA DE MOKA,1.-PAN,1.-PAN,,,,1,1,0,13,0,0,0,0,13,13,13,0,0,0,80,1,80,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,91,91,91,1,ELOTE,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,91,1,91,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,92,92,92,1,EMPANADA DE FRESA,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,92,1,92,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,93,93,93,1,EMPANADA MADRILEÑA CON CREMA PASTELERA,1.-PAN,1.-PAN,,,,1,1,0,15,0,0,0,0,15,15,15,0,0,0,93,1,93,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,94,94,94,1,EMPANADA TABASQUEÑA CON RELLENO DE PIÑA,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,94,1,94,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,95,95,95,1,ESPOLVOREADO,1.-PAN,1.-PAN,,,,1,1,0,30,0,0,0,0,30,30,30,0,0,0,95,1,95,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,96,96,96,1,FIGURA ESPAÑOLA,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,96,1,96,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,97,97,97,1,FLAUTAS,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,97,1,97,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,98,98,98,1,FLOR,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,98,1,98,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,99,99,99,1,GALLETA DE CARITA,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,99,1,99,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,100,100,100,1,GALLETA DE BOLSA CON NUEZ,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,100,1,100,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,101,101,101,1,GALLETA DE CHOCOLATE CON NUEZ,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,101,1,101,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,102,102,102,1,GALLETA DE COCO CON PUNTO,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,102,1,102,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,132,132,132,1,GALLETA DE NUEZ,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,102,1,132,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,103,103,103,1,GANSITO,1.-PAN,1.-PAN,,,,1,1,0,12,0,0,0,0,12,12,12,0,0,0,103,1,103,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,104,104,104,1,HIGO,1.-PAN,1.-PAN,,,,1,1,0,35,0,0,0,0,35,35,35,0,0,0,104,1,104,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,106,106,106,1,HOJALDRA DE CANELA,1.-PAN,1.-PAN,,,,1,1,0,18,0,0,0,0,18,18,18,0,0,0,105,1,106,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,107,107,107,1,HOJALDRA DE CANELA GRANDE,1.-PAN,1.-PAN,,,,1,1,0,50,0,0,0,0,50,50,50,0,0,0,107,1,107,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,112,112,112,1,HOJALDRA DE NARANJA CHICA,1.-PAN,1.-PAN,,,,1,1,0,23,0,0,0,0,23,23,23,0,0,0,108,1,112,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,113,113,113,1,HOJALDRA DE NARANJA MEDIANA,1.-PAN,1.-PAN,,,,1,1,0,115,0,0,0,0,115,115,115,0,0,0,108,1,113,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,114,114,114,1,HOJALDRA DE NARANJA GRANDE,1.-PAN,1.-PAN,,,,1,1,0,210,0,0,0,0,210,210,210,0,0,0,108,1,114,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,115,115,115,1,HOJALDRA DE NARANJA JUMBO,1.-PAN,1.-PAN,,,,1,1,0,279,0,0,0,0,279,279,279,0,0,0,108,1,115,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,134,134,134,1,HOJALDRA DE NARANJA INDIVIDUAL RELLENA,1.-PAN,1.-PAN,,,,1,1,0,60,0,0,0,0,60,60,60,0,0,0,108,1,134,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,135,135,135,1,HOJALDRA DE NUEZ INDIVIDUAL RELLENA,1.-PAN,1.-PAN,,,,1,1,0,65,0,0,0,0,65,65,65,0,0,0,108,1,135,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,136,136,136,1,HOJALDRA GLASEADA DE CANELA,1.-PAN,1.-PAN,,,,1,1,0,23,0,0,0,0,23,23,23,0,0,0,108,1,136,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,137,137,137,1,HOJALDRA DE CANELA,1.-PAN,1.-PAN,,,,1,1,0,23,0,0,0,0,23,23,23,0,0,0,108,1,137,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,108,108,108,1,HOJALDRA DE NUEZ CHICA,1.-PAN,1.-PAN,,,,1,1,0,26,0,0,0,0,26,26,26,0,0,0,109,1,108,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,109,109,109,1,HOJALDRA DE NUEZ MEDIANA,1.-PAN,1.-PAN,,,,1,1,0,130,0,0,0,0,130,130,130,0,0,0,109,1,109,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,110,110,110,1,HOJALDRA DE NUEZ GRANDE,1.-PAN,1.-PAN,,,,1,1,0,230,0,0,0,0,230,230,230,0,0,0,109,1,110,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,111,111,111,1,HOJALDRA DE NUEZ JUMBO,1.-PAN,1.-PAN,,,,1,1,0,349,0,0,0,0,349,349,349,0,0,0,109,1,111,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
4,4.-E - K,105,105,105,1,HUESO DE MANTEQUILLA,1.-PAN,1.-PAN,,,,1,1,0,10,0,0,0,0,10,10,10,0,0,0,120,1,105,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
5,5.-L - M,116,116,116,1,LADRILLO AZUCAR,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,116,1,116,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
5,5.-L - M,117,117,117,1,LADRILLO CHOCOLATE,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,117,1,117,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
5,5.-L - M,118,118,118,1,LADRILLO UNTADO,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,118,1,118,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
